Step:11800 Total_Time:860.9126150608063 Test_acc:0.3333984375
Step:11850 Total_Time:864.5531361103058 Test_acc:0.336328125
Step:11900 Total_Time:868.2042381763458 Test_acc:0.338671875
Step:11950 Total_Time:871.8388702869415 Test_acc:0.33984375
Step:12000 Total_Time:875.4913902282715 Test_acc:0.341015625
Step:12050 Total_Time:879.1291766166687 Test_acc:0.3431640625
Step:12100 Total_Time:882.7760927677155 Test_acc:0.3392578125
Step:12150 Total_Time:886.4027514457703 Test_acc:0.34140625
Step:12200 Total_Time:890.027105808258 Test_acc:0.3416015625
Step:12250 Total_Time:893.6575150489807 Test_acc:0.34296875
Step:12300 Total_Time:897.2917768955231 Test_acc:0.3443359375
Step:12350 Total_Time:900.9380893707275 Test_acc:0.341796875
Step:12400 Total_Time:904.5881733894348 Test_acc:0.3390625
Step:12450 Total_Time:908.2313528060913 Test_acc:0.3388671875
Step:12500 Total_Time:911.876177072525 Test_acc:0.3390625
Step:12550 Total_Time:915.5140552520752 Test_acc:0.3400390625
Step:12600 Total_Time:919.1596646308899 Test_acc:0.3380859375
Step:12650 Total_Time:922.8044104576111 Test_acc:0.341015625
Step:12700 Total_Time:926.4336249828339 Test_acc:0.3392578125
Step:12750 Total_Time:930.099458694458 Test_acc:0.3380859375
Step:12800 Total_Time:933.7557034492493 Test_acc:0.3365234375
Step:12850 Total_Time:937.4032592773438 Test_acc:0.3373046875
Step:12900 Total_Time:941.0469672679901 Test_acc:0.33828125
Step:12950 Total_Time:944.6934385299683 Test_acc:0.3412109375
Step:13000 Total_Time:948.3595366477966 Test_acc:0.34296875
Step:13050 Total_Time:952.0026834011078 Test_acc:0.3431640625
Step:13100 Total_Time:955.6764483451843 Test_acc:0.3419921875
Step:13150 Total_Time:959.3361661434174 Test_acc:0.339453125
Step:13200 Total_Time:962.9885551929474 Test_acc:0.3400390625
Step:13250 Total_Time:966.6426556110382 Test_acc:0.340234375
Step:13300 Total_Time:970.293609380722 Test_acc:0.3361328125
Step:13350 Total_Time:973.9392883777618 Test_acc:0.33671875
Step:13400 Total_Time:977.5859034061432 Test_acc:0.3384765625
OVERALL Step:13404 Total_Time:977.9545469284058 Test_acc:0.33790698283082077
Step:13450 Total_Time:981.2682240009308 Test_acc:0.3384765625
Step:13500 Total_Time:984.9466214179993 Test_acc:0.3421875
Step:13550 Total_Time:988.5890727043152 Test_acc:0.3427734375
Step:13600 Total_Time:992.2289354801178 Test_acc:0.339453125
Step:13650 Total_Time:995.8759658336639 Test_acc:0.3376953125
Step:13700 Total_Time:999.5165274143219 Test_acc:0.340234375
Step:13750 Total_Time:1003.155323266983 Test_acc:0.33984375
Step:13800 Total_Time:1006.7912263870239 Test_acc:0.346875
Step:13850 Total_Time:1010.4408085346222 Test_acc:0.349609375
Step:13900 Total_Time:1014.0748851299286 Test_acc:0.3509765625
Step:13950 Total_Time:1017.7270495891571 Test_acc:0.351953125
Step:14000 Total_Time:1021.372480392456 Test_acc:0.350390625
Step:14050 Total_Time:1025.019240140915 Test_acc:0.3484375
Step:14100 Total_Time:1028.6373076438904 Test_acc:0.346484375
Step:14150 Total_Time:1032.2658717632294 Test_acc:0.3474609375
Step:14200 Total_Time:1035.91002202034 Test_acc:0.348828125
Step:14250 Total_Time:1039.560733795166 Test_acc:0.346875
Step:14300 Total_Time:1043.2126743793488 Test_acc:0.3453125
Step:14350 Total_Time:1046.8559086322784 Test_acc:0.344921875
Step:14400 Total_Time:1050.498714208603 Test_acc:0.344921875
Step:14450 Total_Time:1054.1538286209106 Test_acc:0.34453125
Step:14500 Total_Time:1057.7985620498657 Test_acc:0.3474609375
Step:14550 Total_Time:1061.441334247589 Test_acc:0.3462890625
Step:14600 Total_Time:1065.0762176513672 Test_acc:0.348828125
Step:14650 Total_Time:1068.7185895442963 Test_acc:0.3470703125
Step:14700 Total_Time:1072.3536217212677 Test_acc:0.3458984375
Step:14750 Total_Time:1075.9991202354431 Test_acc:0.344921875
Step:14800 Total_Time:1079.638354063034 Test_acc:0.3455078125
Step:14850 Total_Time:1083.2861061096191 Test_acc:0.3474609375
Step:14900 Total_Time:1086.939954996109 Test_acc:0.3466796875
Step:14950 Total_Time:1090.5789620876312 Test_acc:0.348046875
Step:15000 Total_Time:1094.2231686115265 Test_acc:0.3458984375
Step:15050 Total_Time:1097.884874343872 Test_acc:0.344140625
Step:15100 Total_Time:1101.5374460220337 Test_acc:0.34375
Step:15150 Total_Time:1105.2003784179688 Test_acc:0.3431640625
Step:15200 Total_Time:1108.857213973999 Test_acc:0.3447265625
Step:15250 Total_Time:1112.5075838565826 Test_acc:0.3408203125
Step:15300 Total_Time:1116.160540342331 Test_acc:0.3396484375
OVERALL Step:15319 Total_Time:1117.6456270217896 Test_acc:0.3417870603015075
Step:15350 Total_Time:1119.8577687740326 Test_acc:0.3412109375
Step:15400 Total_Time:1123.5193674564362 Test_acc:0.34140625
Step:15450 Total_Time:1127.1689012050629 Test_acc:0.34609375
Step:15500 Total_Time:1130.8184864521027 Test_acc:0.3486328125
Step:15550 Total_Time:1134.46746301651 Test_acc:0.3474609375
Step:15600 Total_Time:1138.1128075122833 Test_acc:0.34765625
Step:15650 Total_Time:1141.747890472412 Test_acc:0.3478515625
Step:15700 Total_Time:1145.3931720256805 Test_acc:0.3490234375
Step:15750 Total_Time:1149.0371067523956 Test_acc:0.3513671875
Step:15800 Total_Time:1152.684496641159 Test_acc:0.3548828125
Step:15850 Total_Time:1156.3327314853668 Test_acc:0.353125
Step:15900 Total_Time:1159.9886643886566 Test_acc:0.3529296875
Step:15950 Total_Time:1163.6319320201874 Test_acc:0.35234375
Step:16000 Total_Time:1167.2594380378723 Test_acc:0.3501953125
Step:16050 Total_Time:1170.901211977005 Test_acc:0.3501953125
Step:16100 Total_Time:1174.540876865387 Test_acc:0.3517578125
Step:16150 Total_Time:1178.181484222412 Test_acc:0.351953125
Step:16200 Total_Time:1181.8284275531769 Test_acc:0.35078125
Step:16250 Total_Time:1185.4854226112366 Test_acc:0.351171875
Step:16300 Total_Time:1189.1410055160522 Test_acc:0.3470703125
Step:16350 Total_Time:1192.7951276302338 Test_acc:0.3484375
Step:16400 Total_Time:1196.4355912208557 Test_acc:0.350390625
Step:16450 Total_Time:1200.089061498642 Test_acc:0.3515625
Step:16500 Total_Time:1203.7412674427032 Test_acc:0.3537109375
Step:16550 Total_Time:1207.3803615570068 Test_acc:0.354296875
Step:16600 Total_Time:1211.0309190750122 Test_acc:0.353515625
Step:16650 Total_Time:1214.6792929172516 Test_acc:0.351953125
Step:16700 Total_Time:1218.3172483444214 Test_acc:0.349609375
Step:16750 Total_Time:1221.9594514369965 Test_acc:0.3501953125
Step:16800 Total_Time:1225.6118366718292 Test_acc:0.3501953125
Step:16850 Total_Time:1229.2580687999725 Test_acc:0.348828125
Step:16900 Total_Time:1232.9000470638275 Test_acc:0.351171875
Step:16950 Total_Time:1236.5521366596222 Test_acc:0.3513671875
Step:17000 Total_Time:1240.2078294754028 Test_acc:0.3529296875
Step:17050 Total_Time:1243.8589074611664 Test_acc:0.3494140625
Step:17100 Total_Time:1247.5087926387787 Test_acc:0.3494140625
Step:17150 Total_Time:1251.1512677669525 Test_acc:0.3486328125
Step:17200 Total_Time:1254.803820848465 Test_acc:0.34375
OVERALL Step:17234 Total_Time:1257.3654804229736 Test_acc:0.34410332914572866
Step:17250 Total_Time:1258.4880270957947 Test_acc:0.344140625
Step:17300 Total_Time:1262.1476964950562 Test_acc:0.3435546875
Step:17350 Total_Time:1265.8295254707336 Test_acc:0.344921875
Step:17400 Total_Time:1269.4687311649323 Test_acc:0.34921875
Step:17450 Total_Time:1273.1143817901611 Test_acc:0.3482421875
Step:17500 Total_Time:1276.7754364013672 Test_acc:0.346484375
Step:17550 Total_Time:1280.428151845932 Test_acc:0.34765625
Step:17600 Total_Time:1284.0791182518005 Test_acc:0.3486328125
Step:17650 Total_Time:1287.7453994750977 Test_acc:0.3544921875
Step:17700 Total_Time:1291.3762648105621 Test_acc:0.3552734375
Step:17750 Total_Time:1295.0231053829193 Test_acc:0.3537109375
Step:17800 Total_Time:1298.6698365211487 Test_acc:0.35546875
Step:17850 Total_Time:1302.3138372898102 Test_acc:0.355078125
Step:17900 Total_Time:1305.945185661316 Test_acc:0.354296875
Step:17950 Total_Time:1309.5720171928406 Test_acc:0.3537109375
Step:18000 Total_Time:1313.2008051872253 Test_acc:0.3552734375
Step:18050 Total_Time:1316.8386948108673 Test_acc:0.352734375
Step:18100 Total_Time:1320.483826637268 Test_acc:0.3529296875
Step:18150 Total_Time:1324.1357164382935 Test_acc:0.35234375
Step:18200 Total_Time:1327.7910153865814 Test_acc:0.353515625
Step:18250 Total_Time:1331.447071313858 Test_acc:0.351953125
Step:18300 Total_Time:1335.0949187278748 Test_acc:0.351953125
Step:18350 Total_Time:1338.73113656044 Test_acc:0.3537109375
Step:18400 Total_Time:1342.385351896286 Test_acc:0.351171875
Step:18450 Total_Time:1346.0173513889313 Test_acc:0.34921875
Step:18500 Total_Time:1349.6806888580322 Test_acc:0.3515625
